refrigerate-food.py,plant-tree.py
volume-stone.py,take-photo.py
wash-clothes.py,balance-scale-weigh.py
metal-detector.py,make-campfire.py
bath-tub-water-temperature.py,clean-energy.py
conductivity.py,bird-life-cycle.py
boil-water.py,hang-painting.py
sunburn.py,volume.py
volume.py,lit-lightbulb.py
make-ice-cubes.py,metal-detector.py
bath-tub-water-temperature.py,inclined-plane.py
dishwasher.py,sunburn.py
sunburn.py,scale-weigh.py
sweep-floor.py,balance-scale-weigh.py
space-walk.py,volume.py
balance-scale-weigh.py,bath-tub-water-temperature.py
